Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,80108,1976,03,20,0.0,,Y
IDCJAC0009,80108,1976,03,21,0.0,,Y
IDCJAC0009,80108,1976,03,22,0.0,,Y
IDCJAC0009,80108,1976,03,23,0.0,,Y
IDCJAC0009,80108,1976,03,24,0.0,,Y
IDCJAC0009,80108,1976,03,25,0.0,,Y
IDCJAC0009,80108,1976,03,26,0.0,,Y
IDCJAC0009,80108,1976,03,27,0.0,,Y
IDCJAC0009,80108,1976,03,28,0.0,,Y
IDCJAC0009,80108,1976,03,29,0.0,,Y
IDCJAC0009,80108,1976,03,30,0.0,,Y
IDCJAC0009,80108,1976,03,31,0.0,,Y
IDCJAC0009,80108,1976,04,01,0.0,,Y
IDCJAC0009,80108,1976,04,02,0.0,,Y
IDCJAC0009,80108,1976,04,03,0.0,,Y
IDCJAC0009,80108,1976,04,04,0.0,,Y
IDCJAC0009,80108,1976,04,05,2.0,1,Y
IDCJAC0009,80108,1976,04,06,0.0,,Y
IDCJAC0009,80108,1976,04,07,0.0,,Y
IDCJAC0009,80108,1976,04,08,0.0,,Y
IDCJAC0009,80108,1976,04,09,0.0,,Y
IDCJAC0009,80108,1976,04,10,0.0,,Y
IDCJAC0009,80108,1976,04,11,0.0,,Y
IDCJAC0009,80108,1976,04,12,0.0,,Y
IDCJAC0009,80108,1976,04,13,0.0,,Y
IDCJAC0009,80108,1976,04,14,0.0,,Y
IDCJAC0009,80108,1976,04,15,0.0,,Y
IDCJAC0009,80108,1976,04,16,0.0,,Y
IDCJAC0009,80108,1976,04,17,0.0,,Y
IDCJAC0009,80108,1976,04,18,0.0,,Y
IDCJAC0009,80108,1976,04,19,0.0,,Y
IDCJAC0009,80108,1976,04,20,0.0,,Y
IDCJAC0009,80108,1976,04,21,0.0,,Y
IDCJAC0009,80108,1976,04,22,0.0,,Y
IDCJAC0009,80108,1976,04,23,0.0,,Y
IDCJAC0009,80108,1976,04,24,0.0,,Y
IDCJAC0009,80108,1976,04,25,0.0,,Y
IDCJAC0009,80108,1976,04,26,0.0,,Y
IDCJAC0009,80108,1976,04,27,0.8,1,Y
IDCJAC0009,80108,1976,04,28,0.0,,Y
IDCJAC0009,80108,1976,04,29,0.0,,Y
IDCJAC0009,80108,1976,04,30,0.0,,Y
IDCJAC0009,80108,1976,05,01,0.0,,Y
IDCJAC0009,80108,1976,05,02,0.0,,Y
IDCJAC0009,80108,1976,05,03,0.0,,Y
IDCJAC0009,80108,1976,05,04,0.0,,Y
IDCJAC0009,80108,1976,05,05,0.0,,Y
IDCJAC0009,80108,1976,05,06,0.0,,Y
IDCJAC0009,80108,1976,05,07,0.0,,Y
IDCJAC0009,80108,1976,05,08,0.0,,Y
IDCJAC0009,80108,1976,05,09,0.0,,Y
IDCJAC0009,80108,1976,05,10,0.0,,Y
IDCJAC0009,80108,1976,05,11,0.0,,Y
IDCJAC0009,80108,1976,05,12,0.0,,Y
IDCJAC0009,80108,1976,05,13,0.0,,Y
IDCJAC0009,80108,1976,05,14,0.0,,Y
IDCJAC0009,80108,1976,05,15,0.0,,Y
IDCJAC0009,80108,1976,05,16,0.0,,Y
IDCJAC0009,80108,1976,05,17,2.0,1,Y
IDCJAC0009,80108,1976,05,18,0.0,,Y
IDCJAC0009,80108,1976,05,19,0.0,,Y
IDCJAC0009,80108,1976,05,20,0.0,,Y
IDCJAC0009,80108,1976,05,21,0.0,,Y
IDCJAC0009,80108,1976,05,22,0.0,,Y
IDCJAC0009,80108,1976,05,23,4.2,1,Y
IDCJAC0009,80108,1976,05,24,0.0,,Y
IDCJAC0009,80108,1976,05,25,0.0,,Y
IDCJAC0009,80108,1976,05,26,0.0,,Y
IDCJAC0009,80108,1976,05,27,0.0,,Y
IDCJAC0009,80108,1976,05,28,0.0,,Y
IDCJAC0009,80108,1976,05,29,0.0,,Y
IDCJAC0009,80108,1976,05,30,0.0,,Y
IDCJAC0009,80108,1976,05,31,0.0,,Y
IDCJAC0009,80108,1976,06,01,0.0,,Y
IDCJAC0009,80108,1976,06,02,3.0,1,Y
IDCJAC0009,80108,1976,06,03,0.0,,Y
IDCJAC0009,80108,1976,06,04,0.8,1,Y
IDCJAC0009,80108,1976,06,05,0.0,,Y
IDCJAC0009,80108,1976,06,06,0.0,,Y
IDCJAC0009,80108,1976,06,07,2.6,1,Y
IDCJAC0009,80108,1976,06,08,0.0,,Y
IDCJAC0009,80108,1976,06,09,0.0,,Y
IDCJAC0009,80108,1976,06,10,0.0,,Y
IDCJAC0009,80108,1976,06,11,0.0,,Y
IDCJAC0009,80108,1976,06,12,0.0,,Y
IDCJAC0009,80108,1976,06,13,0.0,,Y
IDCJAC0009,80108,1976,06,14,0.2,1,Y
IDCJAC0009,80108,1976,06,15,0.0,,Y
IDCJAC0009,80108,1976,06,16,0.0,,Y
IDCJAC0009,80108,1976,06,17,0.6,1,Y
IDCJAC0009,80108,1976,06,18,0.0,,Y
IDCJAC0009,80108,1976,06,19,0.0,,Y
IDCJAC0009,80108,1976,06,20,0.0,,Y
IDCJAC0009,80108,1976,06,21,0.0,,Y
IDCJAC0009,80108,1976,06,22,0.0,,Y
IDCJAC0009,80108,1976,06,23,0.0,,Y
IDCJAC0009,80108,1976,06,24,0.0,,Y
IDCJAC0009,80108,1976,06,25,0.3,1,Y
IDCJAC0009,80108,1976,06,26,0.2,1,Y
IDCJAC0009,80108,1976,06,27,0.0,,Y
IDCJAC0009,80108,1976,06,28,0.0,,Y
IDCJAC0009,80108,1976,06,29,2.4,1,Y
IDCJAC0009,80108,1976,06,30,0.0,,Y
IDCJAC0009,80108,1976,07,01,0.0,,Y
IDCJAC0009,80108,1976,07,02,0.0,,Y
IDCJAC0009,80108,1976,07,03,0.0,,Y
IDCJAC0009,80108,1976,07,04,8.6,1,Y
IDCJAC0009,80108,1976,07,05,0.0,,Y
IDCJAC0009,80108,1976,07,06,0.0,,Y
IDCJAC0009,80108,1976,07,07,0.0,,Y
IDCJAC0009,80108,1976,07,08,0.0,,Y
IDCJAC0009,80108,1976,07,09,0.0,,Y
IDCJAC0009,80108,1976,07,10,0.0,,Y
IDCJAC0009,80108,1976,07,11,0.0,,Y
IDCJAC0009,80108,1976,07,12,0.0,,Y
IDCJAC0009,80108,1976,07,13,0.0,,Y
IDCJAC0009,80108,1976,07,14,0.0,,Y
IDCJAC0009,80108,1976,07,15,0.6,1,Y
IDCJAC0009,80108,1976,07,16,0.0,,Y
IDCJAC0009,80108,1976,07,17,0.0,,Y
IDCJAC0009,80108,1976,07,18,0.0,,Y
IDCJAC0009,80108,1976,07,19,0.0,,Y
IDCJAC0009,80108,1976,07,20,0.0,,Y
IDCJAC0009,80108,1976,07,21,0.0,,Y
IDCJAC0009,80108,1976,07,22,0.0,,Y
IDCJAC0009,80108,1976,07,23,0.0,,Y
IDCJAC0009,80108,1976,07,24,0.0,,Y
IDCJAC0009,80108,1976,07,25,0.0,,Y
IDCJAC0009,80108,1976,07,26,0.0,,Y
IDCJAC0009,80108,1976,07,27,0.0,,Y
IDCJAC0009,80108,1976,07,28,0.0,,Y
IDCJAC0009,80108,1976,07,29,7.2,1,Y
IDCJAC0009,80108,1976,07,30,4.2,1,Y
IDCJAC0009,80108,1976,07,31,0.0,,Y
IDCJAC0009,80108,1976,08,01,5.4,1,Y
IDCJAC0009,80108,1976,08,02,0.0,,Y
IDCJAC0009,80108,1976,08,03,1.4,1,Y
IDCJAC0009,80108,1976,08,04,0.0,,Y
IDCJAC0009,80108,1976,08,05,0.0,,Y
IDCJAC0009,80108,1976,08,06,1.2,1,Y
IDCJAC0009,80108,1976,08,07,0.0,,Y
IDCJAC0009,80108,1976,08,08,0.0,,Y
IDCJAC0009,80108,1976,08,09,0.4,1,Y
IDCJAC0009,80108,1976,08,10,0.0,,Y
IDCJAC0009,80108,1976,08,11,0.0,,Y
IDCJAC0009,80108,1976,08,12,0.0,,Y
IDCJAC0009,80108,1976,08,13,1.8,1,Y
IDCJAC0009,80108,1976,08,14,0.0,,Y
IDCJAC0009,80108,1976,08,15,0.0,,Y
IDCJAC0009,80108,1976,08,16,0.0,,Y
IDCJAC0009,80108,1976,08,17,0.0,,Y
IDCJAC0009,80108,1976,08,18,0.0,,Y
IDCJAC0009,80108,1976,08,19,0.0,,Y
IDCJAC0009,80108,1976,08,20,0.0,,Y
IDCJAC0009,80108,1976,08,21,0.0,,Y
IDCJAC0009,80108,1976,08,22,0.0,,Y
IDCJAC0009,80108,1976,08,23,6.0,1,Y
IDCJAC0009,80108,1976,08,24,4.8,1,Y
IDCJAC0009,80108,1976,08,25,0.0,,Y
IDCJAC0009,80108,1976,08,26,0.0,,Y
IDCJAC0009,80108,1976,08,27,0.0,,Y
IDCJAC0009,80108,1976,08,28,0.0,,Y
IDCJAC0009,80108,1976,08,29,0.0,,Y
IDCJAC0009,80108,1976,08,30,0.0,,Y
IDCJAC0009,80108,1976,08,31,0.0,,Y
IDCJAC0009,80108,1976,09,01,2.2,1,Y
IDCJAC0009,80108,1976,09,02,1.6,1,Y
IDCJAC0009,80108,1976,09,03,0.6,1,Y
IDCJAC0009,80108,1976,09,04,0.0,,Y
IDCJAC0009,80108,1976,09,05,0.0,,Y
IDCJAC0009,80108,1976,09,06,0.0,,Y
IDCJAC0009,80108,1976,09,07,0.0,,Y
IDCJAC0009,80108,1976,09,08,0.0,,Y
IDCJAC0009,80108,1976,09,09,0.8,1,Y
IDCJAC0009,80108,1976,09,10,1.0,1,Y
IDCJAC0009,80108,1976,09,11,0.6,1,Y
IDCJAC0009,80108,1976,09,12,0.0,,Y
IDCJAC0009,80108,1976,09,13,0.0,,Y
IDCJAC0009,80108,1976,09,14,0.0,,Y
IDCJAC0009,80108,1976,09,15,0.0,,Y
IDCJAC0009,80108,1976,09,16,0.0,,Y
IDCJAC0009,80108,1976,09,17,0.0,,Y
IDCJAC0009,80108,1976,09,18,0.0,,Y
IDCJAC0009,80108,1976,09,19,0.0,,Y
IDCJAC0009,80108,1976,09,20,16.4,1,Y
IDCJAC0009,80108,1976,09,21,7.2,1,Y
IDCJAC0009,80108,1976,09,22,0.0,,Y
IDCJAC0009,80108,1976,09,23,5.0,1,Y
IDCJAC0009,80108,1976,09,24,0.0,,Y
IDCJAC0009,80108,1976,09,25,0.0,,Y
IDCJAC0009,80108,1976,09,26,0.0,,Y
IDCJAC0009,80108,1976,09,27,0.0,,Y
IDCJAC0009,80108,1976,09,28,0.0,,Y
IDCJAC0009,80108,1976,09,29,0.0,,Y
IDCJAC0009,80108,1976,09,30,0.0,,Y
IDCJAC0009,80108,1976,10,01,0.0,,Y
IDCJAC0009,80108,1976,10,02,0.0,,Y
IDCJAC0009,80108,1976,10,03,14.6,1,Y
IDCJAC0009,80108,1976,10,04,10.2,1,Y
IDCJAC0009,80108,1976,10,05,0.8,1,Y
IDCJAC0009,80108,1976,10,06,0.0,,Y
IDCJAC0009,80108,1976,10,07,0.0,,Y
IDCJAC0009,80108,1976,10,08,3.8,1,Y
IDCJAC0009,80108,1976,10,09,0.0,,Y
IDCJAC0009,80108,1976,10,10,0.4,1,Y
IDCJAC0009,80108,1976,10,11,0.0,,Y
IDCJAC0009,80108,1976,10,12,0.0,,Y
IDCJAC0009,80108,1976,10,13,0.0,,Y
IDCJAC0009,80108,1976,10,14,0.8,1,Y
IDCJAC0009,80108,1976,10,15,0.0,,Y
IDCJAC0009,80108,1976,10,16,0.0,,Y
IDCJAC0009,80108,1976,10,17,5.0,1,Y
IDCJAC0009,80108,1976,10,18,11.0,1,Y
IDCJAC0009,80108,1976,10,19,0.0,,Y
IDCJAC0009,80108,1976,10,20,0.0,,Y
IDCJAC0009,80108,1976,10,21,0.0,,Y
IDCJAC0009,80108,1976,10,22,0.0,,Y
IDCJAC0009,80108,1976,10,23,0.0,,Y
IDCJAC0009,80108,1976,10,24,0.0,,Y
IDCJAC0009,80108,1976,10,25,0.0,,Y
IDCJAC0009,80108,1976,10,26,0.0,,Y
IDCJAC0009,80108,1976,10,27,0.0,,Y
IDCJAC0009,80108,1976,10,28,0.0,,Y
IDCJAC0009,80108,1976,10,29,0.0,,Y
IDCJAC0009,80108,1976,10,30,0.0,,Y
IDCJAC0009,80108,1976,10,31,0.0,,Y
IDCJAC0009,80108,1976,11,01,0.0,,Y
IDCJAC0009,80108,1976,11,02,23.4,1,Y
IDCJAC0009,80108,1976,11,03,9.0,1,Y
IDCJAC0009,80108,1976,11,04,0.0,,Y
IDCJAC0009,80108,1976,11,05,0.0,,Y
IDCJAC0009,80108,1976,11,06,0.0,,Y
IDCJAC0009,80108,1976,11,07,0.0,,Y
IDCJAC0009,80108,1976,11,08,0.0,,Y
IDCJAC0009,80108,1976,11,09,0.0,,Y
IDCJAC0009,80108,1976,11,10,0.0,,Y
IDCJAC0009,80108,1976,11,11,0.0,,Y
IDCJAC0009,80108,1976,11,12,6.2,1,Y
IDCJAC0009,80108,1976,11,13,0.0,,Y
IDCJAC0009,80108,1976,11,14,8.0,1,Y
IDCJAC0009,80108,1976,11,15,0.0,,Y
IDCJAC0009,80108,1976,11,16,0.0,,Y
IDCJAC0009,80108,1976,11,17,0.0,,Y
IDCJAC0009,80108,1976,11,18,0.0,,Y
IDCJAC0009,80108,1976,11,19,0.0,,Y
IDCJAC0009,80108,1976,11,20,0.0,,Y
IDCJAC0009,80108,1976,11,21,0.0,,Y
IDCJAC0009,80108,1976,11,22,0.0,,Y
IDCJAC0009,80108,1976,11,23,0.0,,Y
IDCJAC0009,80108,1976,11,24,0.0,,Y
IDCJAC0009,80108,1976,11,25,0.6,1,Y
IDCJAC0009,80108,1976,11,26,8.4,1,Y
IDCJAC0009,80108,1976,11,27,0.0,,Y
IDCJAC0009,80108,1976,11,28,0.0,,Y
IDCJAC0009,80108,1976,11,29,0.0,,Y
IDCJAC0009,80108,1976,11,30,6.8,1,Y
IDCJAC0009,80108,1976,12,01,0.0,,Y
IDCJAC0009,80108,1976,12,02,0.0,,Y
IDCJAC0009,80108,1976,12,03,0.0,,Y
IDCJAC0009,80108,1976,12,04,0.0,,Y
IDCJAC0009,80108,1976,12,05,0.0,,Y
IDCJAC0009,80108,1976,12,06,0.0,,Y
IDCJAC0009,80108,1976,12,07,6.6,1,Y
IDCJAC0009,80108,1976,12,08,0.0,,Y
IDCJAC0009,80108,1976,12,09,0.0,,Y
IDCJAC0009,80108,1976,12,10,0.0,,Y
IDCJAC0009,80108,1976,12,11,0.0,,Y
IDCJAC0009,80108,1976,12,12,0.0,,Y
IDCJAC0009,80108,1976,12,13,0.0,,Y
IDCJAC0009,80108,1976,12,14,0.0,,Y
IDCJAC0009,80108,1976,12,15,0.6,1,Y
IDCJAC0009,80108,1976,12,16,2.8,1,Y
IDCJAC0009,80108,1976,12,17,0.0,,Y
IDCJAC0009,80108,1976,12,18,0.0,,Y
IDCJAC0009,80108,1976,12,19,0.0,,Y
IDCJAC0009,80108,1976,12,20,0.0,,Y
IDCJAC0009,80108,1976,12,21,0.0,,Y
IDCJAC0009,80108,1976,12,22,0.0,,Y
IDCJAC0009,80108,1976,12,23,1.8,1,Y
IDCJAC0009,80108,1976,12,24,8.8,1,Y
IDCJAC0009,80108,1976,12,25,0.0,,Y
IDCJAC0009,80108,1976,12,26,0.0,,Y
IDCJAC0009,80108,1976,12,27,0.0,,Y
IDCJAC0009,80108,1976,12,28,0.0,,Y
IDCJAC0009,80108,1976,12,29,0.0,,Y
IDCJAC0009,80108,1976,12,30,0.0,,Y
IDCJAC0009,80108,1976,12,31,0.0,,Y
IDCJAC0009,80108,1977,01,01,3.0,1,Y
IDCJAC0009,80108,1977,01,02,0.0,,Y
IDCJAC0009,80108,1977,01,03,0.0,,Y
IDCJAC0009,80108,1977,01,04,0.0,,Y
IDCJAC0009,80108,1977,01,05,0.0,,Y
IDCJAC0009,80108,1977,01,06,0.0,,Y
IDCJAC0009,80108,1977,01,07,0.0,,Y
IDCJAC0009,80108,1977,01,08,0.0,,Y
IDCJAC0009,80108,1977,01,09,0.0,,Y
IDCJAC0009,80108,1977,01,10,0.0,,Y
IDCJAC0009,80108,1977,01,11,0.0,,Y
IDCJAC0009,80108,1977,01,12,0.0,,Y
IDCJAC0009,80108,1977,01,13,0.0,,Y
IDCJAC0009,80108,1977,01,14,3.8,1,Y
IDCJAC0009,80108,1977,01,15,3.0,1,Y
IDCJAC0009,80108,1977,01,16,0.0,,Y
IDCJAC0009,80108,1977,01,17,0.0,,Y
IDCJAC0009,80108,1977,01,18,0.0,,Y
IDCJAC0009,80108,1977,01,19,0.0,,Y
IDCJAC0009,80108,1977,01,20,0.0,,Y
IDCJAC0009,80108,1977,01,21,0.0,,Y
IDCJAC0009,80108,1977,01,22,0.0,,Y
IDCJAC0009,80108,1977,01,23,0.0,,Y
IDCJAC0009,80108,1977,01,24,0.0,,Y
IDCJAC0009,80108,1977,01,25,0.0,,Y
IDCJAC0009,80108,1977,01,26,0.0,,Y
IDCJAC0009,80108,1977,01,27,0.0,,Y
IDCJAC0009,80108,1977,01,28,0.0,,Y
IDCJAC0009,80108,1977,01,29,0.0,,Y
IDCJAC0009,80108,1977,01,30,0.0,,Y
IDCJAC0009,80108,1977,01,31,0.0,,Y
IDCJAC0009,80108,1977,02,01,0.0,,Y
IDCJAC0009,80108,1977,02,02,0.0,,Y
IDCJAC0009,80108,1977,02,03,0.0,,Y
IDCJAC0009,80108,1977,02,04,0.0,,Y
IDCJAC0009,80108,1977,02,05,0.0,,Y
IDCJAC0009,80108,1977,02,06,8.0,1,Y
IDCJAC0009,80108,1977,02,07,0.0,,Y
IDCJAC0009,80108,1977,02,08,0.0,,Y
IDCJAC0009,80108,1977,02,09,0.0,,Y
IDCJAC0009,80108,1977,02,10,0.0,,Y
IDCJAC0009,80108,1977,02,11,0.0,,Y
IDCJAC0009,80108,1977,02,12,0.0,,Y
IDCJAC0009,80108,1977,02,13,0.0,,Y
IDCJAC0009,80108,1977,02,14,0.0,,Y
IDCJAC0009,80108,1977,02,15,0.0,,Y
IDCJAC0009,80108,1977,02,16,0.0,,Y
IDCJAC0009,80108,1977,02,17,0.0,,Y
IDCJAC0009,80108,1977,02,18,1.6,1,Y
IDCJAC0009,80108,1977,02,19,0.0,,Y
IDCJAC0009,80108,1977,02,20,0.0,,Y
IDCJAC0009,80108,1977,02,21,0.4,1,Y
IDCJAC0009,80108,1977,02,22,0.0,,Y
IDCJAC0009,80108,1977,02,23,12.8,1,Y
IDCJAC0009,80108,1977,02,24,0.0,,Y
IDCJAC0009,80108,1977,02,25,0.0,,Y
IDCJAC0009,80108,1977,02,26,0.0,,Y
IDCJAC0009,80108,1977,02,27,0.0,,Y
IDCJAC0009,80108,1977,02,28,0.0,,Y
IDCJAC0009,80108,1977,03,01,0.0,,Y
IDCJAC0009,80108,1977,03,02,0.0,,Y
IDCJAC0009,80108,1977,03,03,0.0,,Y
IDCJAC0009,80108,1977,03,04,0.0,,Y
IDCJAC0009,80108,1977,03,05,0.0,,Y
IDCJAC0009,80108,1977,03,06,0.0,,Y
IDCJAC0009,80108,1977,03,07,0.0,,Y
IDCJAC0009,80108,1977,03,08,0.0,,Y
IDCJAC0009,80108,1977,03,09,0.0,,Y
IDCJAC0009,80108,1977,03,10,0.0,,Y
IDCJAC0009,80108,1977,03,11,0.0,,Y
IDCJAC0009,80108,1977,03,12,0.0,,Y
IDCJAC0009,80108,1977,03,13,0.0,,Y
IDCJAC0009,80108,1977,03,14,0.0,,Y
IDCJAC0009,80108,1977,03,15,0.0,,Y
IDCJAC0009,80108,1977,03,16,0.0,,Y
IDCJAC0009,80108,1977,03,17,0.0,,Y
IDCJAC0009,80108,1977,03,18,0.0,,Y
IDCJAC0009,80108,1977,03,19,0.0,,Y
IDCJAC0009,80108,1977,03,20,0.0,,Y
IDCJAC0009,80108,1977,03,21,0.0,,Y
IDCJAC0009,80108,1977,03,22,0.0,,Y
IDCJAC0009,80108,1977,03,23,2.8,1,Y
IDCJAC0009,80108,1977,03,24,1.8,1,Y
IDCJAC0009,80108,1977,03,25,0.0,,Y
IDCJAC0009,80108,1977,03,26,6.4,1,Y
IDCJAC0009,80108,1977,03,27,0.0,,Y
IDCJAC0009,80108,1977,03,28,1.4,1,Y
IDCJAC0009,80108,1977,03,29,0.0,,Y
IDCJAC0009,80108,1977,03,30,0.0,,Y
IDCJAC0009,80108,1977,03,31,4.4,1,Y
IDCJAC0009,80108,1977,04,01,0.0,,Y
IDCJAC0009,80108,1977,04,02,0.0,,Y
IDCJAC0009,80108,1977,04,03,0.0,,Y
IDCJAC0009,80108,1977,04,04,0.0,,Y
IDCJAC0009,80108,1977,04,05,0.0,,Y
IDCJAC0009,80108,1977,04,06,0.0,,Y
IDCJAC0009,80108,1977,04,07,3.8,1,Y
IDCJAC0009,80108,1977,04,08,25.6,1,Y
IDCJAC0009,80108,1977,04,09,0.0,,Y
IDCJAC0009,80108,1977,04,10,0.0,,Y
IDCJAC0009,80108,1977,04,11,0.0,,Y
IDCJAC0009,80108,1977,04,12,0.0,,Y
IDCJAC0009,80108,1977,04,13,0.0,,Y
IDCJAC0009,80108,1977,04,14,0.0,,Y
IDCJAC0009,80108,1977,04,15,0.0,,Y
IDCJAC0009,80108,1977,04,16,0.0,,Y
IDCJAC0009,80108,1977,04,17,0.0,,Y
IDCJAC0009,80108,1977,04,18,0.0,,Y
IDCJAC0009,80108,1977,04,19,0.0,,Y
IDCJAC0009,80108,1977,04,20,0.0,,Y
IDCJAC0009,80108,1977,04,21,0.0,,Y
IDCJAC0009,80108,1977,04,22,0.0,,Y
IDCJAC0009,80108,1977,04,23,0.0,,Y
IDCJAC0009,80108,1977,04,24,0.0,,Y
IDCJAC0009,80108,1977,04,25,0.0,,Y
IDCJAC0009,80108,1977,04,26,0.0,,Y
IDCJAC0009,80108,1977,04,27,0.0,,Y
IDCJAC0009,80108,1977,04,28,0.0,,Y
IDCJAC0009,80108,1977,04,29,0.0,,Y
IDCJAC0009,80108,1977,04,30,0.0,,Y
IDCJAC0009,80108,1977,05,01,0.0,,Y
IDCJAC0009,80108,1977,05,02,0.0,,Y
IDCJAC0009,80108,1977,05,03,0.0,,Y
IDCJAC0009,80108,1977,05,04,0.0,,Y
IDCJAC0009,80108,1977,05,05,0.0,,Y
IDCJAC0009,80108,1977,05,06,2.4,1,Y
IDCJAC0009,80108,1977,05,07,0.0,,Y
IDCJAC0009,80108,1977,05,08,0.0,,Y
IDCJAC0009,80108,1977,05,09,0.0,,Y
IDCJAC0009,80108,1977,05,10,0.0,,Y
IDCJAC0009,80108,1977,05,11,0.6,1,Y
IDCJAC0009,80108,1977,05,12,0.0,,Y
IDCJAC0009,80108,1977,05,13,1.6,1,Y
IDCJAC0009,80108,1977,05,14,0.0,,Y
IDCJAC0009,80108,1977,05,15,0.0,,Y
IDCJAC0009,80108,1977,05,16,0.0,,Y
IDCJAC0009,80108,1977,05,17,0.0,,Y
IDCJAC0009,80108,1977,05,18,7.8,1,Y
IDCJAC0009,80108,1977,05,19,1.0,1,Y
IDCJAC0009,80108,1977,05,20,0.0,,Y
IDCJAC0009,80108,1977,05,21,2.0,1,Y
IDCJAC0009,80108,1977,05,22,0.0,,Y
IDCJAC0009,80108,1977,05,23,0.0,,Y
IDCJAC0009,80108,1977,05,24,,,
IDCJAC0009,80108,1977,05,25,,,
IDCJAC0009,80108,1977,05,26,4.0,3,Y
IDCJAC0009,80108,1977,05,27,2.6,1,Y
IDCJAC0009,80108,1977,05,28,0.0,,Y
IDCJAC0009,80108,1977,05,29,0.0,,Y
IDCJAC0009,80108,1977,05,30,0.0,,Y
IDCJAC0009,80108,1977,05,31,5.2,1,Y
IDCJAC0009,80108,1977,06,01,0.0,,Y
IDCJAC0009,80108,1977,06,02,0.0,,Y
IDCJAC0009,80108,1977,06,03,0.0,,Y
IDCJAC0009,80108,1977,06,04,0.0,,Y
IDCJAC0009,80108,1977,06,05,0.0,,Y
IDCJAC0009,80108,1977,06,06,0.0,,Y
IDCJAC0009,80108,1977,06,07,0.0,,Y
IDCJAC0009,80108,1977,06,08,0.0,,Y
IDCJAC0009,80108,1977,06,09,0.0,,Y
IDCJAC0009,80108,1977,06,10,0.0,,Y
IDCJAC0009,80108,1977,06,11,0.0,,Y
IDCJAC0009,80108,1977,06,12,0.0,,Y
IDCJAC0009,80108,1977,06,13,0.0,,Y
IDCJAC0009,80108,1977,06,14,0.0,,Y
IDCJAC0009,80108,1977,06,15,0.0,,Y
IDCJAC0009,80108,1977,06,16,6.4,1,Y
IDCJAC0009,80108,1977,06,17,0.5,1,Y
IDCJAC0009,80108,1977,06,18,26.2,1,Y
IDCJAC0009,80108,1977,06,19,0.0,,Y
IDCJAC0009,80108,1977,06,20,0.0,,Y
IDCJAC0009,80108,1977,06,21,0.0,,Y
IDCJAC0009,80108,1977,06,22,0.0,,Y
IDCJAC0009,80108,1977,06,23,0.0,,Y
IDCJAC0009,80108,1977,06,24,0.0,,Y
IDCJAC0009,80108,1977,06,25,0.0,,Y
IDCJAC0009,80108,1977,06,26,0.0,,Y
IDCJAC0009,80108,1977,06,27,0.0,,Y
IDCJAC0009,80108,1977,06,28,1.0,1,Y
IDCJAC0009,80108,1977,06,29,9.4,1,Y
IDCJAC0009,80108,1977,06,30,1.4,1,Y
IDCJAC0009,80108,1977,07,01,0.0,,Y
IDCJAC0009,80108,1977,07,02,0.0,,Y
IDCJAC0009,80108,1977,07,03,0.0,,Y
IDCJAC0009,80108,1977,07,04,0.0,,Y
IDCJAC0009,80108,1977,07,05,0.0,,Y
IDCJAC0009,80108,1977,07,06,0.0,,Y
IDCJAC0009,80108,1977,07,07,0.0,,Y
IDCJAC0009,80108,1977,07,08,0.0,,Y
IDCJAC0009,80108,1977,07,09,0.0,,Y
IDCJAC0009,80108,1977,07,10,2.0,1,Y
IDCJAC0009,80108,1977,07,11,0.0,,Y
IDCJAC0009,80108,1977,07,12,0.0,,Y
IDCJAC0009,80108,1977,07,13,0.0,,Y
IDCJAC0009,80108,1977,07,14,1.4,1,Y
IDCJAC0009,80108,1977,07,15,0.0,,Y
IDCJAC0009,80108,1977,07,16,0.0,,Y
IDCJAC0009,80108,1977,07,17,0.0,,Y
IDCJAC0009,80108,1977,07,18,0.0,,Y
IDCJAC0009,80108,1977,07,19,0.0,,Y
IDCJAC0009,80108,1977,07,20,0.0,,Y
IDCJAC0009,80108,1977,07,21,0.0,,Y
IDCJAC0009,80108,1977,07,22,0.0,,Y
IDCJAC0009,80108,1977,07,23,0.0,,Y
IDCJAC0009,80108,1977,07,24,0.0,,Y
IDCJAC0009,80108,1977,07,25,2.4,1,Y
IDCJAC0009,80108,1977,07,26,0.6,1,Y
IDCJAC0009,80108,1977,07,27,0.8,1,Y
IDCJAC0009,80108,1977,07,28,0.0,,Y
IDCJAC0009,80108,1977,07,29,0.0,,Y
IDCJAC0009,80108,1977,07,30,0.0,,Y
IDCJAC0009,80108,1977,07,31,0.0,,Y
IDCJAC0009,80108,1977,08,01,4.2,1,Y
IDCJAC0009,80108,1977,08,02,0.0,,Y
IDCJAC0009,80108,1977,08,03,0.0,,Y
IDCJAC0009,80108,1977,08,04,4.0,1,Y
IDCJAC0009,80108,1977,08,05,0.0,,Y
IDCJAC0009,80108,1977,08,06,0.0,,Y
IDCJAC0009,80108,1977,08,07,1.6,1,Y
IDCJAC0009,80108,1977,08,08,0.0,,Y
IDCJAC0009,80108,1977,08,09,0.0,,Y
IDCJAC0009,80108,1977,08,10,0.0,,Y
IDCJAC0009,80108,1977,08,11,0.0,,Y
IDCJAC0009,80108,1977,08,12,0.8,1,Y
IDCJAC0009,80108,1977,08,13,0.0,,Y
IDCJAC0009,80108,1977,08,14,0.0,,Y
